Order ID,SKU ID,"Category (top, bottom, outerwear, etc.)",Size,Color,MRP,Selling price,Discount %,Returned? (Y/N),Return reason (if any),Actual discount %
ORD-20220101-000001,SKU-PAN-0002,pants,XL,Maroon,2699,1814,32.8,N,,32.78992219
ORD-20220101-000002,SKU-SHI-0001,shirts,XXL,Maroon,1999,1812,9.4,N,,9.354677339
ORD-20220101-000003,SKU-CRO-0019,croptops,L,Olive,1799,2210,0,N,,-22.84602557
ORD-20220101-000004,SKU-SHI-0003,shirts,L,Black,2799,1395,50,Y,RTO,50.1607717
ORD-20220101-000005,SKU-SHI-0045,shirts,XS,Maroon,2299,999,50,N,,56.54632449
ORD-20220101-000005,SKU-SHI-0036,shirts,XS,Navy,2299,999,50,N,,56.54632449
ORD-20220101-000006,SKU-PAN-0002,pants,M,Olive,2699,999,50,N,,62.98629122
ORD-20220101-000006,SKU-SHI-0001,shirts,XL,Maroon,1999,999,50,N,,50.02501251
ORD-20220101-000007,SKU-PAN-0009,pants,S,Maroon,2799,1530,45.3,N,,45.33762058
ORD-20220101-000008,SKU-SHI-0001,shirts,XL,Black,1999,1872,6.4,N,,6.353176588
ORD-20220101-000009,SKU-CRO-0048,croptops,XS,Beige,1799,1350,25,N,,24.95831017
ORD-20220101-000010,SKU-TSH-0032,tshirts,S,Olive,1499,999,33.4,Y,Changed mind,33.35557038
ORD-20220101-000010,SKU-CRO-0005,croptops,L,Beige,2399,1301,45.8,Y,Quality concern,45.76907045
ORD-20220101-000011,SKU-PAN-0002,pants,XL,Black,2699,1913,29.1,N,,29.121897
ORD-20220101-000012,SKU-PAN-0008,pants,XXL,Beige,2999,1889,37,N,,37.01233745
ORD-20220101-000013,SKU-PAN-0020,pants,XL,Olive,2999,1583,47.2,Y,RTO,47.21573858
ORD-20220101-000014,SKU-CRO-0005,croptops,S,Grey,2399,1715,28.5,Y,Quality concern,28.51187995
ORD-20220101-000015,SKU-PAN-0009,pants,XL,Olive,2799,1531,45.3,N,,45.30189353
ORD-20220101-000016,SKU-PAN-0002,pants,M,Black,2699,999,50,N,,62.98629122
ORD-20220101-000016,SKU-SHI-0001,shirts,L,Beige,1999,999,50,N,,50.02501251
ORD-20220101-000017,SKU-PAN-0002,pants,XS,Black,2699,2114,21.7,Y,Different than images,21.67469433
ORD-20220101-000018,SKU-CRO-0048,croptops,M,White,1799,999,44.5,N,,44.46914953
ORD-20220101-000018,SKU-CRO-0014,croptops,M,Black,1799,999,44.5,N,,44.46914953
ORD-20220101-000019,SKU-PAN-0008,pants,L,Black,2999,1005,50,N,,66.48882961
ORD-20220101-000019,SKU-SHI-0001,shirts,XL,Blue,1999,999,50,N,,50.02501251
