Order ID,Customer ID,Order date & time,Product,Order value (gross),Order value (net),Discount applied (₹),Discount applied (%),Payment mode,Shipping city,Pincode,First order vs repeat,Channel source (last touch),Delivered / Returned / RTO,order_rank,Corrected order type
ORD-20220101-000001,CUST-0001627,2022-01-01 20:18:00,2-item cart,2339,1814,525,22.5,Card,Lucknow,624797,First,Meta,Delivered,1.0,First
ORD-20220101-000002,CUST-0006543,2022-01-01 23:42:00,2-item cart,2588,1812,777,30.0,UPI,Delhi,779192,First,Meta,Delivered,1.0,First
ORD-20220101-000003,CUST-0021661,2022-01-01 22:25:00,2-item cart,2546,2210,336,13.2,UPI,Chandigarh,516352,First,Organic Instagram,Delivered,1.0,First
ORD-20220101-000004,CUST-0007414,2022-01-01 10:16:00,2-item cart,1800,1395,405,22.5,COD,Indore,268472,First,Influencer,RTO,1.0,First
ORD-20220101-000005,CUST-0019325,2022-01-01 22:34:00,2-item cart,2155,1853,302,14.0,UPI,Mumbai,515911,First,Meta,Delivered,1.0,First
ORD-20220101-000006,CUST-0002588,2022-01-01 19:56:00,Mixed Cart,1893,1664,229,12.1,Card,Visakhapatnam,146416,First,Organic Instagram,Delivered,1.0,First
ORD-20220101-000007,CUST-0014715,2022-01-01 19:09:00,Mixed Cart,1883,1530,353,18.8,UPI,Dehradun,332183,First,Meta,Delivered,1.0,First
ORD-20220101-000008,CUST-0019499,2022-01-01 16:12:00,2-item cart,2345,1872,473,20.2,UPI,Kanpur,180268,First,Google,Delivered,1.0,First
ORD-20220101-000009,CUST-0025774,2022-01-01 18:29:00,Mixed Cart,1800,1350,450,25.0,COD,Surat,549977,First,Meta,Delivered,1.0,First
ORD-20220101-000010,CUST-0017166,2022-01-01 22:06:00,Mixed Cart,2753,2300,453,16.5,UPI,Bengaluru,671653,First,Organic Instagram,Returned,1.0,First
ORD-20220101-000011,CUST-0005643,2022-01-01 17:36:00,2-item cart,2689,1913,775,28.8,UPI,Pune,748222,First,Meta,Delivered,1.0,First
ORD-20220101-000012,CUST-0008801,2022-01-01 21:15:00,Mixed Cart,2567,1889,678,26.4,Wallet,Mumbai,427777,First,Organic Instagram,Delivered,1.0,First
ORD-20220101-000013,CUST-0024983,2022-01-01 11:55:00,2-item cart,1941,1583,359,18.5,Card,Bhubaneswar,392508,First,Google,RTO,1.0,First
ORD-20220101-000014,CUST-0015875,2022-01-01 13:58:00,Mixed Cart,2450,1715,735,30.0,COD,Mysuru,168937,First,Meta,Returned,1.0,First
ORD-20220101-000015,CUST-0018635,2022-01-01 16:08:00,2-item cart,2073,1531,543,26.2,UPI,Delhi,320478,First,Meta,Delivered,1.0,First
ORD-20220101-000016,CUST-0015212,2022-01-01 21:12:00,2-item cart,1800,1350,450,25.0,Card,Nagpur,239891,First,Meta,Delivered,1.0,First
ORD-20220101-000017,CUST-0011461,2022-01-01 12:55:00,2-item cart,2414,2114,300,12.4,UPI,Bhubaneswar,381225,First,Influencer,Returned,1.0,First
ORD-20220101-000018,CUST-0007023,2022-01-01 10:10:00,Mixed Cart,2383,1791,591,24.8,COD,Chandigarh,820615,First,Google,Delivered,1.0,First
ORD-20220101-000019,CUST-0017349,2022-01-01 10:30:00,Mixed Cart,2492,1876,615,24.7,Card,Mumbai,374651,First,Email/SMS,Delivered,1.0,First
ORD-20220101-000020,CUST-0011427,2022-01-01 20:17:00,Single item,2304,1895,409,17.7,Card,Delhi,426823,First,Influencer,Delivered,1.0,First
ORD-20220101-000021,CUST-0012263,2022-01-01 10:32:00,2-item cart,2054,1661,393,19.1,Card,Surat,406409,First,Meta,RTO,1.0,First
ORD-20220101-000022,CUST-0021500,2022-01-01 20:20:00,Single item,1985,1717,269,13.5,COD,Nashik,423306,First,Google,Returned,1.0,First
ORD-20220101-000023,CUST-0013242,2022-01-01 22:54:00,2-item cart,2063,1742,321,15.6,Card,Kochi,136692,First,Email/SMS,Returned,1.0,First
ORD-20220101-000024,CUST-0019406,2022-01-01 16:24:00,2-item cart,2086,1602,484,23.2,NetBanking,Patna,469837,First,Meta,Delivered,1.0,First
ORD-20220101-000025,CUST-0005571,2022-01-01 20:22:00,Mixed Cart,2316,2031,285,12.3,COD,Mysuru,299935,First,Meta,Delivered,1.0,First
ORD-20220101-000026,CUST-0022273,2022-01-01 22:35:00,2-item cart,2155,1826,328,15.2,Wallet,Chandigarh,343050,First,Influencer,Returned,1.0,First
ORD-20220102-000027,CUST-0003860,2022-01-02 15:16:00,Single item,2046,1814,232,11.3,Card,Mysuru,721923,First,Google,Delivered,1.0,First
ORD-20220102-000028,CUST-0017362,2022-01-02 18:07:00,Mixed Cart,2694,2048,646,24.0,UPI,Mumbai,268103,First,Meta,Delivered,1.0,First
ORD-20220102-000029,CUST-0005910,2022-01-02 17:09:00,2-item cart,2206,1774,432,19.6,COD,Ahmedabad,771686,First,Offline (Friends/Family),RTO,1.0,First
ORD-20220102-000030,CUST-0018884,2022-01-02 14:13:00,2-item cart,1883,1558,325,17.3,COD,Ahmedabad,202319,First,Meta,Delivered,1.0,First
ORD-20220102-000031,CUST-0002249,2022-01-02 17:24:00,Single item,2841,2105,736,25.9,COD,Rajkot,447865,First,Google,RTO,1.0,First
ORD-20220102-000032,CUST-0011284,2022-01-02 20:46:00,2-item cart,1879,1649,229,12.2,UPI,Mumbai,637787,First,Meta,Delivered,1.0,First
ORD-20220102-000033,CUST-0017175,2022-01-02 14:29:00,Single item,2462,1874,589,23.9,UPI,Nashik,250289,First,Organic Instagram,Delivered,1.0,First
ORD-20220102-000034,CUST-0000627,2022-01-02 12:58:00,Single item,1800,1495,305,16.9,UPI,Bhopal,247580,First,Meta,Delivered,1.0,First
ORD-20220102-000035,CUST-0012295,2022-01-02 15:45:00,Single item,2338,1923,415,17.7,COD,Delhi,670709,First,Google,RTO,1.0,First
ORD-20220102-000036,CUST-0006055,2022-01-02 20:53:00,Mixed Cart,2385,1942,443,18.6,Card,Hyderabad,683868,First,Influencer,Returned,1.0,First
ORD-20220102-000037,CUST-0003309,2022-01-02 20:00:00,Mixed Cart,2142,1929,214,10.0,Card,Bengaluru,745054,First,Meta,Delivered,1.0,First
ORD-20220102-000038,CUST-0025716,2022-01-02 21:39:00,2-item cart,2063,1503,560,27.1,UPI,Delhi,319453,First,Influencer,Delivered,1.0,First
ORD-20220102-000039,CUST-0017387,2022-01-02 21:26:00,Single item,2123,1668,455,21.4,Card,Delhi,614013,First,Meta,Delivered,1.0,First
ORD-20220103-000040,CUST-0002952,2022-01-03 23:36:00,2-item cart,1833,1593,240,13.1,COD,Mumbai,216211,First,Instagram DM,Delivered,1.0,First
